Plot,TreeID,Species,Year,DBH,GapYears,PrevDBH,GrowthRate,GrowthType,DBH_cm,Group,Carbon,CO2e,PrevCarbon,CarbonGrowthRate
Upper,178,sugar maple,2022,15.4,1.0,14.9,0.0335570469798657,normal,39.116,hardwood,344.72792840354595,1265.1514972410137,319.52675505808435,0.0788703072482317
Upper,178,sugar maple,2023,15.3,1.0,15.4,-0.0064935064935064,normal,38.862,hardwood,339.6011111062187,1246.3360777598225,344.72792840354595,-0.0148720683034583
Upper,178,sugar maple,2024,15.25,1.0,15.3,-0.0032679738562091,normal,38.735,hardwood,337.0539740612074,1236.9880848046312,339.6011111062187,-0.0075003790085204
Upper,178,sugar maple,2025,15.2,1.0,15.25,-0.0032786885245902,normal,38.608,hardwood,334.51767056839014,1227.6798509859918,337.0539740612074,-0.007524917930078
Upper,18,norway maple,2015,3.4,,,,initial,8.636,hardwood,10.680223002041938,39.19641841749391,,
Upper,18,norway maple,2016,3.5625,1.0,3.4,0.0477941176470588,normal,9.04875,hardwood,11.890908015583763,43.63963241719241,10.680223002041938,0.1133576530481017
Upper,18,norway maple,2017,3.8,1.0,3.5625,0.0666666666666666,normal,9.652,hardwood,13.793709769009748,50.62291485226577,11.890908015583763,0.1600215686583603
Upper,18,norway maple,2018,3.15,1.0,3.8,-0.1710526315789473,normal,8.001,hardwood,8.95969209904525,32.88207000349607,13.793709769009748,-0.3504508758640883
Upper,18,norway maple,2021,3.94,3.0,3.15,0.0835978835978836,annualized,10.0076,hardwood,14.990638174194912,55.01564209929533,8.95969209904525,0.2243732637416682
Upper,18,norway maple,2022,4.4,1.0,3.94,0.1167512690355331,normal,11.176000000000002,hardwood,19.325020688900143,70.92282592826353,14.990638174194912,0.2891392924262889
Upper,18,norway maple,2023,3.7,1.0,4.4,-0.1590909090909091,normal,9.398,hardwood,12.973070463439562,47.61116860082319,19.325020688900143,-0.3286904747847954
Upper,18,norway maple,2024,4.45,1.0,3.7,0.2027027027027027,normal,11.303,hardwood,19.833841435142535,72.7901980669731,12.973070463439562,0.5288471215074223
Upper,18,norway maple,2025,4.2,1.0,4.45,-0.0561797752808988,normal,10.668,hardwood,17.36409605187606,63.726232510385145,19.833841435142535,-0.1245217872363577
Upper,180,red maple,2015,5.1,,,,initial,12.954,hardwood,27.138773514041727,99.59929879653312,,
Upper,180,red maple,2016,5.1,1.0,5.1,0.0,normal,12.954,hardwood,27.138773514041727,99.59929879653312,27.138773514041727,0.0
